site,title,link,city,organization,note,salary_min,salary_max,salary_currency
HeadHanter,QA automation (Python),https://perm.hh.ru/vacancy/48204586?from=vacancy_search_list&query=python,Москва,ООО ОНЭЛИЯ,Будьте первыми,150 000,250 000,руб.
HeadHanter,Бэкенд-разработчик (Python)/Middle Python/ Python Developer (Remote),https://perm.hh.ru/vacancy/48421443?from=vacancy_search_list&query=python,Ростов-на-Дону,"ЮТэйр, Авиакомпания",Будьте первыми,150 000,220 000,руб.
HeadHanter,Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote),https://perm.hh.ru/vacancy/48421449?from=vacancy_search_list&query=python,Санкт-Петербург,"ЮТэйр, Авиакомпания",Будьте первыми,150 000,220 000,руб.
HeadHanter,Разработчик Python,https://perm.hh.ru/vacancy/46706157?from=vacancy_search_list&query=python,Москва,Банк ВТБ (ПАО),Будьте первыми,,,
HeadHanter,Python Back-end Developer,https://perm.hh.ru/vacancy/48441816?from=vacancy_search_list&query=python,Минск,Фингерз Медиа,,,,
HeadHanter,Senior Python Developer,https://perm.hh.ru/vacancy/47902679?from=vacancy_search_list&query=python,Москва,inDriver,,250 000,,руб.
HeadHanter,Программист Python/Java,https://perm.hh.ru/vacancy/43244378?from=vacancy_search_list&query=python,Москва,ООО ИнфоТех,,60 000,,руб.
HeadHanter,Программист Python / Python Developer (удаленно),https://perm.hh.ru/vacancy/48247232?from=vacancy_search_list&query=python,Екатеринбург,MeBot 24,,60 000,100 000,руб.
HeadHanter,Бэкенд-разработчик Python/Middle Python/ Python Developer (Remote),https://perm.hh.ru/vacancy/48421483?from=vacancy_search_list&query=python,Краснодар,"ЮТэйр, Авиакомпания",Будьте первыми,150 000,220 000,руб.
HeadHanter,Backend-разработчик / Python developer (умные дома),https://perm.hh.ru/vacancy/48380601?from=vacancy_search_list&query=python,Воронеж,ООО Эктострой,Будьте первыми,100 000,200 000,руб.
HeadHanter,Python разработчик в области GIS (удаленная работа),https://perm.hh.ru/vacancy/48457355?from=vacancy_search_list&query=python,Москва,Atlatec,,480,800,EUR
HeadHanter,Программист Python Backend,https://perm.hh.ru/vacancy/48259518?from=vacancy_search_list&query=python,Москва,ИП Галлямов Раиль Нафисович,,,300 000,руб.
HeadHanter,Middle Python Developer,https://perm.hh.ru/vacancy/48045471?from=vacancy_search_list&query=python,Санкт-Петербург,Qmobi Ltd,,100 000,200 000,руб.
HeadHanter,Python developer,https://perm.hh.ru/vacancy/48240457?from=vacancy_search_list&query=python,Нижний Новгород,Artezio,Будьте первыми,160 000,,руб.
HeadHanter,Back-end Developer(Python),https://perm.hh.ru/vacancy/47709707?from=vacancy_search_list&query=python,Уфа,ООО ДВК Групп,,100 000,,руб.
HeadHanter,Middle Python Engineer (Remote),https://perm.hh.ru/vacancy/45870757?from=vacancy_search_list&query=python,Санкт-Петербург,Spark Equation,Будьте первыми,150 000,210 000,руб.
HeadHanter,Разработчик Python,https://perm.hh.ru/vacancy/48409160?from=vacancy_search_list&query=python,Екатеринбург,Deltaplan Group,,120 000,,руб.
HeadHanter,Python-разработчик,https://perm.hh.ru/vacancy/48404948?from=vacancy_search_list&query=python,Ярославль,ООО Боновизио,Будьте первыми,70 000,,руб.
HeadHanter,Программист Python (веб и мобильные проекты),https://perm.hh.ru/vacancy/48415500?from=vacancy_search_list&query=python,Волгоград,Web++,Будьте первыми,40 000,,руб.
HeadHanter,Программист Python,https://perm.hh.ru/vacancy/48445225?from=vacancy_search_list&query=python,Киев,Future Proof Technology,Будьте первыми,2 000,4 500,USD
SuperJob,Backend Developer Python,https://superjob.ru/vakansii/backend-developer-python-39176710.html,Пермь,Аналитикс Групп,Удаленная работа,,100000,руб.
SuperJob,Специалист службы поддержки (с техническими знаниями),https://superjob.ru/vakansii/specialist-sluzhby-podderzhki-37984539.html,Пермь,Яндекс,Опыт не нужен,15000,,руб.
SuperJob,IT-специалист,https://superjob.ru/vakansii/it-specialist-39038595.html,"Пермь,",JOBCART.RU,,40000,,руб.
SuperJob,Программист 1С,https://superjob.ru/vakansii/programmist-1s-36677872.html,Пермь,СКБ Контур,Удаленная работа,,,
SuperJob,"Backend-разработчик (PHP, Middle)",https://superjob.ru/vakansii/backend-razrabotchik-39215193.html,"Пермь,",Виджет,Удаленная работа,110000,,руб.
SuperJob,"Backend-разработчик (PHP, Junior)",https://superjob.ru/vakansii/backend-razrabotchik-39215122.html,"Пермь,",Виджет,,30000,,руб.
HeadHanter,Исследователь-разработчик на Python | Яндекс.Толока,https://perm.hh.ru/vacancy/47448619?from=vacancy_search_list&query=python,Москва,Яндекс,Будьте первыми,,,
HeadHanter,Python Middle Developer,https://perm.hh.ru/vacancy/48218528?from=vacancy_search_list&query=python,Москва,ООО МКК Папазайм,,120 000,180 000,руб.
HeadHanter,Python Developer,https://perm.hh.ru/vacancy/47656522?from=vacancy_search_list&query=python,Алматы,ТОО AVIATA.KZ,,,,
HeadHanter,Python developer (middle),https://perm.hh.ru/vacancy/47570441?from=vacancy_search_list&query=python,Москва,Fitingo,Будьте первыми,150 000,,руб.
HeadHanter,Python-developer,https://perm.hh.ru/vacancy/48070138?from=vacancy_search_list&query=python,Краснодар,ИП Черкасов Константин Юрьевич,,1 000,2 000,USD
HeadHanter,Python (Django) программист Middle,https://perm.hh.ru/vacancy/47997389?from=vacancy_search_list&query=python,Красноярск,ООО ЭКСПЕРТ-ПРО,,90 000,,руб.
HeadHanter,Разработчик внутренней автоматизации (Python),https://perm.hh.ru/vacancy/48405072?from=vacancy_search_list&query=python,Москва,СберИгры,,,,
HeadHanter,Программист Python,https://perm.hh.ru/vacancy/48419048?from=vacancy_search_list&query=python,Москва,Сбер. IT,,,,
HeadHanter,Data Scientist,https://perm.hh.ru/vacancy/48279098?from=vacancy_search_list&query=python,Москва,ООО Артистраж,,60 000,200 000,руб.
HeadHanter,Python-разработчик (Middle),https://perm.hh.ru/vacancy/48258223?from=vacancy_search_list&query=python,Красноярск,Латера,Будьте первыми,,220 000,руб.
HeadHanter,Python Backend Developer / WEB - разработчик,https://perm.hh.ru/vacancy/46123925?from=vacancy_search_list&query=python,Москва,ООО Перфект Системс,Будьте первыми,185 000,,руб.
HeadHanter,Back-end Python/Django разработчик,https://perm.hh.ru/vacancy/48459674?from=vacancy_search_list&query=python,Москва,ООО Mind&Machine,Будьте первыми,150 000,,руб.
HeadHanter,Разработчик Python,https://perm.hh.ru/vacancy/47892369?from=vacancy_search_list&query=python,Москва,Билайн,,,,
HeadHanter,Data Scientist,https://perm.hh.ru/vacancy/45191074?from=vacancy_search_list&query=python,Москва,Точка,Будьте первыми,,300 000,руб.
HeadHanter,Backend-разработчик / Python developer (умные дома),https://perm.hh.ru/vacancy/48381016?from=vacancy_search_list&query=python,Москва,ООО Эктострой,Будьте первыми,100 000,200 000,руб.
HeadHanter,"Старший Backend-разработчик (Python, Django)",https://perm.hh.ru/vacancy/47975443?from=vacancy_search_list&query=python,Казань,Ergeon,Будьте первыми,4 000,5 000,USD
HeadHanter,Middle Python Back End Developer,https://perm.hh.ru/vacancy/48285643?from=vacancy_search_list&query=python,Киев,EVO,Будьте первыми,2 500,4 000,USD
HeadHanter,Python разработчик,https://perm.hh.ru/vacancy/47368969?from=vacancy_search_list&query=python,Москва,Сбер. IT,,,,
